,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y_pred[124],7.673,2.636,2.456,12.244,0.054,0.075,2343.0,1270.0,1.0
y_pred[125],9.008,4.082,1.435,16.855,0.091,0.096,2018.0,1280.0,1.0
y_pred[126],3.44,0.853,1.748,4.93,0.019,0.02,2073.0,1184.0,1.0
y_pred[127],9.05,3.795,1.724,16.08,0.082,0.096,2168.0,1411.0,1.0
y_pred[128],6.7,1.991,3.219,10.603,0.035,0.059,3220.0,1524.0,1.0
y_pred[129],4.681,1.144,2.643,6.928,0.023,0.028,2451.0,1415.0,1.0
y_pred[130],3.116,0.775,1.541,4.409,0.015,0.018,2683.0,1189.0,1.0
y_pred[131],2.678,0.677,1.43,3.975,0.014,0.016,2350.0,1313.0,1.0
y_pred[132],2.615,0.66,1.297,3.857,0.015,0.015,1980.0,1371.0,1.0
y_pred[133],4.033,1.003,2.238,5.966,0.02,0.022,2401.0,1557.0,1.0
y_pred[134],4.959,1.264,2.651,7.455,0.025,0.028,2660.0,1466.0,1.0
y_pred[135],5.228,1.366,2.625,7.73,0.027,0.037,2516.0,1388.0,1.0
y_pred[136],4.56,1.153,2.583,6.868,0.023,0.027,2586.0,1557.0,1.0
y_pred[137],7.221,2.434,2.744,11.815,0.043,0.06,3152.0,1398.0,1.0
y_pred[138],7.076,2.245,3.115,11.447,0.038,0.051,3469.0,1660.0,1.0
y_pred[139],9.674,4.372,1.569,17.869,0.074,0.108,3465.0,1574.0,1.0
y_pred[140],6.29,1.857,2.746,9.592,0.038,0.044,2408.0,1432.0,1.0
y_pred[141],4.568,1.165,2.384,6.706,0.023,0.024,2637.0,1605.0,1.0
y_pred[142],6.054,1.714,2.805,9.146,0.033,0.042,2765.0,1519.0,1.0
y_pred[143],5.381,1.464,2.817,8.336,0.03,0.036,2367.0,1377.0,1.0
y_pred[144],4.686,1.228,2.429,6.983,0.026,0.028,2281.0,1175.0,1.0
y_pred[145],8.218,3.04,2.434,13.598,0.058,0.074,2745.0,1329.0,1.0
y_pred[146],6.337,1.908,3.057,10.161,0.038,0.047,2467.0,1308.0,1.0
y_pred[147],6.554,2.032,2.71,10.202,0.039,0.048,2665.0,1292.0,1.0
y_pred[148],3.011,0.737,1.533,4.367,0.014,0.019,2816.0,1384.0,1.0
y_pred[149],6.505,1.867,3.099,10.131,0.038,0.045,2393.0,1390.0,1.0
y_pred[150],2.954,0.75,1.553,4.41,0.014,0.017,2881.0,1696.0,1.0
y_pred[151],6.014,1.67,2.683,9.036,0.035,0.037,2309.0,1522.0,1.0
y_pred[152],3.658,0.945,1.797,5.35,0.019,0.023,2407.0,1237.0,1.0
y_pred[153],9.574,4.787,0.832,18.423,0.082,0.126,3494.0,1444.0,1.0
y_pred[154],2.368,0.647,1.145,3.597,0.015,0.015,1973.0,1351.0,1.0
y_pred[155],3.803,0.954,2.008,5.627,0.017,0.026,3118.0,1312.0,1.0
y_pred[156],2.488,0.655,1.326,3.788,0.014,0.015,2082.0,1354.0,1.0
